"marca_temporal","interes_en_doctorado","doctorado_de_interes","genero","edad","estado_estudios","estado_residencia","area_maestria","maestria_estudiada","universidad_estudios_maestria","situacion_laboral","motivacion_en_doctorado","tiempo_inicio_doctorado","motivacion_en_doctorado_otro_texto"
2024-04-30 19:15:16.583,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","36 a 40","Puebla","Tlaxcala","Social","Maestría en Ciencias en Estrategias para el Desarrollo Agrícola Regional","Colegio de Postgraduados Campus Puebla","Docente","Docencia","En 5 años",NA
2024-04-30 19:36:21.937,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","26 a 30","Puebla","Morelos","Social","Maestría en Ciencias en Estrategias para el Desarrollo Agrícola Regional","Colegio de Postgraduados Campus Puebla","Docente","Docencia","Indefinido",NA
2024-04-30 19:37:14.604,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","26 a 30","Puebla","Puebla","Social","Maestría en Ciencias en Estrategias para el Desarrollo Agrícola Regional","Colegio de Postgraduados Campus Puebla","Docente","Investigación","En 1 año",NA
2024-04-30 19:57:59.739,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","26 a 30","Puebla","Puebla","Social","Maestría en Ciencias en Estrategias para el Desarrollo Agrícola Regional","Colegio de Postgraduados Campus Puebla","Solo estudia","Investigación","En 1 año",NA
2024-05-01 06:53:34.178,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","36 a 40","Puebla","Puebla","Social","Maestría en Ciencias en Estrategias para el Desarrollo Agrícola Regional","Colegio de Postgraduados Campus Puebla","Empleado","Docencia","En 1 año",NA
2024-05-01 12:35:25.69,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Masculino","21 a 25","Puebla","Puebla","Social","Maestría en Ciencias en Estrategias para el Desarrollo Agrícola Regional","Colegio de Postgraduados Campus Puebla","Empleado","Investigación","En 1 año",NA
2024-05-01 22:13:45.222,"Sí","Desarrollo del Paisaje Rural","Femenino","31 a 35","Tlaxcala","Tlaxcala","Social","Maestría en Desarrollo Regional","El Colegio de Tlaxcala, A.C.","Solo estudia","Docencia","En 1 año",NA
2024-05-03 10:51:58,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","31 a 35","Puebla","Puebla","Social","Maestría en Ciencias en Estrategias para el Desarrollo Agrícola Regional","Colegio de Postgraduados Campus Puebla","Docente","Investigación","En 1 año",NA
2024-05-06 11:14:20.138,"Sí","Urbanismo y Relaciones de Poder","Femenino","31 a 35","Sonora","Sonora","Economía","Maestría en Economía","Universidad de Sonora","Trabaja y estudia","Aplicación en campo","En 1 año",NA
2024-05-06 11:49:45.902,"Sí","Desarrollo Regional","Femenino","46 a 50","Sonora","Sonora","Social","Maestría en Desarrollo Regional","Centro de Investigación en Alimentación y Desarrollo, A.C.","Solo estudia","Docencia","Indefinido",NA
2024-05-06 11:54:50.338,"Sí","Desarrollo Regional","Masculino","31 a 35","Sonora","Sonora","Economía","Maestría en Finanzas","UVM","Trabaja y estudia","Docencia","Indefinido",NA
2024-05-06 11:56:38.011,"Sí","Energías","Femenino","26 a 30","Sinaloa","Sinaloa","Otras","Maestría en Ciencias Ambientales","Centro de Investigación en Alimentación y Desarrollo, A.C.","Empleado","Docencia","En 1 año",NA
2024-05-06 12:02:15.558,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","36 a 40","Sinaloa","Sinaloa","Otras","Maestría en Acuacultura","Universidad de Sonora","Docente","Investigación","Indefinido",NA
2024-05-06 12:02:37.48,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Masculino","41 a 45","Sinaloa","Sinaloa","Otras","Maestría en Ciencias en Manejo Ambiental","Centro de Investigación en Alimentación y Desarrollo, A.C.","Negocio propio","Aplicación en campo","Indefinido",NA
2024-05-06 12:21:02,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Masculino","31 a 35","Chihuahua","Chihuahua","Otras","Maestría en Ciencias","Centro de Investigación en Alimentación y Desarrollo, A.C.","Docente","Investigación","Indefinido",NA
2024-05-06 12:22:03,"No",NA,"Femenino","61 o más","Sonora","Sonora","Otras","Maestría en Ciencias","Centro de Investigación en Alimentación y Desarrollo, A.C.","Empleado","Otro","Indefinido","no tengo interés , estoy por jubilarme"
2024-05-06 12:24:33,"No",NA,"Femenino","26 a 30","Sonora","Jalisco","Otras","Maestría en Ciencias","Centro de Investigación en Alimentación y Desarrollo, A.C.","Solo estudia","Investigación","Indefinido",NA
2024-05-06 12:25:48,"No",NA,"Masculino","51 a 55","Sonora","Sonora","Otras","MaeMaestria en Ciencias (Area terminal Biopolímeros)","Centro de Investigación en Alimentación y Desarrollo, A.C.","Docente","Investigación","Indefinido",NA
2024-05-06 12:26:37,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","51 a 55","Sinaloa","Baja California Sur","Otras","Maestría en Ciencias en Manejo Ambiental","Centro de Investigación en Alimentación y Desarrollo, A.C.","Empleado","Aplicación en campo","En 1 año",NA
2024-05-06 12:35:13,"No",NA,"Masculino","51 a 55","Sonora","Sonora","Otras","Maestría en Ciencias","Centro de Investigación en Alimentación y Desarrollo, A.C.","Empleado","Investigación","Indefinido",NA
2024-05-06 12:40:51,"Sí","Desarrollo del Paisaje Rural","Femenino","36 a 40","Sonora","Sonora","Otras","Maestría en Ciencias","Centro de Investigación en Alimentación y Desarrollo, A.C.","Docente","Docencia","En 2 años",NA
2024-05-06 12:48:20,"No",NA,"Masculino","41 a 45","Sonora","Sonora","Economía","Maestría en Integración Económica","Universidad de Sonora","Solo estudia","Docencia","Indefinido",NA
2024-05-06 12:57:32,"Sí","Desarrollo del Paisaje Rural","Femenino","31 a 35","Sonora","Sonora","Economía","Maestría en Integración Económica","Universidad de Sonora","Solo estudia","Docencia","Indefinido",NA
2024-05-06 13:10:03,"Sí","Desarrollo del Paisaje Rural","Masculino","51 a 55","Sonora","Sonora","Otras","Maestría en Ciencias","El colegio de Sonora","Docente","Investigación","En 1 año",NA
2024-05-06 13:39:19,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Masculino","41 a 45","Sonora","Chiapas","Social","Maestría en Desarrollo Regional","Centro de Investigación en Alimentación y Desarrollo, A.C.","Empleado","Investigación","En 1 año",NA
2024-05-06 13:54:21,"Sí","Desarrollo del Paisaje Rural","Femenino","46 a 50","Colima","Colima","Otras","Maestría en Administración","Universidad de Colima","Docente","Investigación","Indefinido",NA
2024-05-06 14:03:14,"Sí","Desarrollo del Paisaje Rural","Masculino","36 a 40","Sonora","Sonora","Social","Maestría en Desarrollo Regional","Centro de Investigación en Alimentación y Desarrollo, A.C.","Trabaja y estudia","Investigación","Indefinido",NA
2024-05-06 14:04:30,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","41 a 45","Sonora","Sonora","Otras","Maestría en Ciencias","Centro de Investigación en Alimentación y Desarrollo, A.C.","Trabaja y estudia","Aplicación en campo","Indefinido",NA
2024-05-06 14:06:52,"Sí","Desarrollo del Paisaje Rural","Femenino","31 a 35","Sonora","Sonora","Otras","Maestría en Marketing","Universidad de Sonora","Trabaja y estudia","Docencia","En 1 año",NA
2024-05-06 14:29:18,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","51 a 55","Sonora","Sonora","Otras","Maestría en Ciencias","Centro de Investigación en Alimentación y Desarrollo, A.C.","Empleado","Investigación","Indefinido",NA
2024-05-06 14:38:14,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","46 a 50","Sonora","Estados Unidos de América (residencia en el extranjero)","Social","Maestría en Desarrollo Regional","Centro de Investigación en Alimentación y Desarrollo, A.C.","Docente","Investigación","En 1 año",NA
2024-05-06 15:28:41,"Sí","Paisaje y Turismo Rural","Masculino","31 a 35","Sonora","Sonora","Social","Maestría en Desarrollo Regional","Centro de Investigación en Alimentación y Desarrollo","Trabaja y estudia","Investigación","En 3 años",NA
2024-05-06 15:52:24,"Sí","Paisaje y Turismo Rural","Masculino","26 a 30","Sonora","Sonora","Social","Maestría en Desarrollo Regional","Centro de Investigación en Alimentación y Desarrollo, A.C.","Empleado","Docencia","En 1 año",NA
2024-05-06 17:01:12,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","31 a 35","Veracruz","Sinaloa","Alimentos","Innovación Agroalimentaria Sustentable","Colegio de Postgraduados Campus Córdoba","Empleado","Investigación","En 1 año",NA
2024-05-06 18:42:56,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Masculino","36 a 40","Sonora","Sonora","Otras","Maestría en Administracion","Universidad de Sonora","Solo estudia","Docencia","En 1 año",NA
2024-05-06 20:41:54,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","56 a 60","Sonora","Sonora","Social","Maestría en Desarrollo Regional","Centro de Investigación en Alimentación y Desarrollo, A.C.","Trabaja y estudia","Docencia","En 2 años",NA
2024-05-07 07:21:00,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","36 a 40","Chihuahua","Chihuahua","Otras","Maestría en Ciencias","Centro de Investigación en Alimentación y Desarrollo, A.C.","Empleado","Otro","Indefinido","Ninguno"
2024-05-07 09:37:34,"Sí","Desarrollo del Paisaje Rural","Masculino","51 a 55","Sonora","Sonora","Social","Maestría en Desarrollo Regional","Centro de Investigación en Alimentación y Desarrollo, A.C.","Trabaja y estudia","Investigación","En 2 años",NA
2024-05-07 09:49:17,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","46 a 50","Estado de México","Sonora","Alimentos","Ciencia y Tecnología Agroalimentaria","Universidad Autónoma Chapingo","Docente","Investigación","En 3 años",NA
2024-05-07 10:05:52,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","56 a 60","Jalisco","Sonora","Otras","Maestría en Arquitectura","Universidad de Guadalajara","Empleado","Aplicación en campo","Indefinido",NA
2024-05-07 11:21:02,"Sí","Desarrollo del Paisaje Rural","Masculino","31 a 35","Baja California Sur","Baja California Sur","Otras","Maestría en Administración Estratégica","Universidad Autónoma de Baja California Sur","Trabaja y estudia","Investigación","En 3 años",NA
2024-05-07 11:29:35,"Sí","Sociología","Femenino","31 a 35","Sonora","Sonora","Otras","Maestría en Educación","Instituto Tecnológico de Sonora","Docente","Investigación","Indefinido",NA
2024-05-07 14:53:22,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Masculino","26 a 30","Sonora","Sonora","Otras","Maestría en Ciencias","Centro de Investigación en Alimentación y Desarrollo, A.C.","Trabaja y estudia","Investigación","En 1 año",NA
